tf	blanco	experimento	pmids	en_corpus
ArgR	PA3863	Beta-gal reporter assay|EMSA|Site directed mutagenesis	19850617	false
ArgR	PA3864	Beta-gal reporter assay|EMSA|Site directed mutagenesis	19850617	false
ArgR	PA3934	DNA-array expression analysis|EMSA	15175299	true
ArgR	PA4588	Beta-gal reporter assay|DNAse footprinting|EMSA	15175298	false
ArgR	PA5035	Beta-gal reporter assay|DNAse footprinting|EMSA	15175298	false
ArgR	PA5036	Beta-gal reporter assay|DNAse footprinting|EMSA	15175298	false
ArgR	PA5152	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA5153	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA5154	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA5155	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA5170	DNAse footprinting|EMSA|Site directed mutagenesis	10198009	true
ArgR	PA5171	DNAse footprinting|EMSA|Site directed mutagenesis	10198009	true
ArgR	PA5172	DNAse footprinting|EMSA|Site directed mutagenesis	10198009	true
ArgR	PA5173	DNAse footprinting|EMSA|Site directed mutagenesis	10198009	true
BrlR	PA4878	Beta-gal reporter assay|ChIP-PCR|EMSA|Site directed mutagenesis	24612375	true
DNR	PA0523	Beta-gal reporter assay|Site directed mutagenesis|Western blot (quantitative) expression analysis	19477902	true
DNR	PA0524	Beta-gal reporter assay|Site directed mutagenesis|Western blot (quantitative) expression analysis	19477902	true
DesT	PA4888	DNAse footprinting|EMSA|qPCR [quantitative real-time]	17877713	true
DesT	PA4889	DNAse footprinting|EMSA|qPCR [quantitative real-time]	17877713	true
ExsA	PA1710	Beta-gal reporter assay|DNAse footprinting|EMSA|Site directed mutagenesis	18373522|22408165	true
FleQ	PA3064	Beta-gal reporter assay|DNAse footprinting|Site directed mutagenesis	22581773	true
Fur	PA0672	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA0929	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA0964	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA1321	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA2426	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA2637	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA3410	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA4156	FURTA|qPCR [quantitative real-time]	21546589	false
Fur	PA4471	DNAse footprinting|EMSA|Genomic SELEX|Primer Extension assay|RNAse protection	8633080|9045799	true
Fur	PA4513	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA4515	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA4634	DNAse footprinting|EMSA|Genomic SELEX|RNAse protection	8633080	true
Fur	PA4704.1	DNAse footprinting|EMSA|Genomic SELEX|Northern blot|RNAse protection	8633080|15210934	true
Fur	PA4704.2	DNAse footprinting|EMSA|Genomic SELEX|Northern blot	8633080|15210934	true
Fur	PA4710	DNAse footprinting|RNAse protection	10658665	true
IHF	PA3540	CAT reporter gene assays|Copper-phenanthroline footprinting|EMSA|Site directed mutagenesis	8051019	true
IscR	PA2532	EMSA|Northern blot	22609922	true
LasR	PA0026	ChIP-PCR|ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0027	ChIP-PCR|ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0028	ChIP-PCR|ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0122	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0143	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0144	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0805	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0806	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0855	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0996	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0997	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0998	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA0999	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1000	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1003	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1159	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA1245	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA1246	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA1247	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA1248	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA1431	ChIP-PCR|ChIP-chip|DNA-array expression analysis|DNAse footprinting|EMSA	15505212|18045385|19682264	true
LasR	PA1432	ChIP-PCR|ChIP-chip|DNA-array expression analysis|DNAse footprinting|EMSA	15505212|18045385|19682264	true
LasR	PA1656	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1657	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1658	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1659	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA1869	Beta-gal reporter assay|Site directed mutagenesis	11544214	false
LasR	PA1898	Beta-gal reporter assay|Site directed mutagenesis	11544214	false
LasR	PA1914	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2080	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA2081	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA2231	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2232	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2233	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2234	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2235	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
