locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4167		PA4167	protein_coding	2,5-diketo-D-gluconate reductase B	false		refseq|kegg|uniprot	false
PA4168	fpvB	PA4168	protein_coding	second ferric pyoverdine receptor FpvB	false		refseq|kegg|uniprot	false
PA4169		PA4169	protein_coding	hypothetical protein	true	go_0003700|go_0006355	refseq|kegg|uniprot	false
PA4170		PA4170	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4171		PA4171	protein_coding	protease	false		refseq|kegg|uniprot	false
PA4172		PA4172	protein_coding	nuclease	false		refseq|kegg|uniprot	false
PA4173		PA4173	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4174		PA4174	protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot	false
PA4175	piv	PA4175|prpL	protein_coding	endopeptidase IV	false		refseq|kegg|uniprot|uniprot_especie	true
PA4176	ppiC2	PA4176	protein_coding	peptidyl-prolyl cis-trans isomerase C2	false		refseq|kegg|uniprot	false
PA4177		PA4177	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4178		PA4178	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4179		PA4179	protein_coding	porin	false		refseq|kegg|uniprot	false
PA4180		PA4180	protein_coding	acetolactate synthase	false		refseq|kegg|uniprot	false
PA4181		PA4181	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4182		PA4182	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4183		PA4183	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4184		PA4184	protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot	false
PA4185		PA4185	protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot	false
PA4186		PA4186	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4187		PA4187	protein_coding	major facilitator superfamily transporter	false		refseq|kegg|uniprot	false
PA4188		PA4188	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4189		PA4189	protein_coding	aldehyde dehydrogenase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4190	pqsL	PA4190	protein_coding	monooxygenase	false		refseq|kegg|uniprot	false
PA4191		PA4191	protein_coding	iron/ascorbate oxidoreductase	false		refseq|kegg|uniprot	false
PA4192		PA4192	protein_coding	ABC transporter ATP-binding protein	false		refseq|kegg|uniprot	false
PA4193		PA4193	protein_coding	ABC transporter permease	false		refseq|kegg|uniprot	false
PA4194		PA4194	protein_coding	ABC transporter permease	false		refseq|kegg|uniprot	false
PA4195		PA4195	protein_coding	ABC transporter	false		refseq|kegg|uniprot	false
PA4196	bfiR	PA4196	protein_coding	protein BfiR	true	go_0006355|kw_transcription_regulation	refseq|kegg|uniprot	false
PA4197	bfiS	PA4197	protein_coding	protein BfiS	false		refseq|kegg|uniprot	false
PA4198		PA4198	protein_coding	acyl-CoA synthetase	false		refseq|kegg|uniprot	false
PA4199		PA4199	protein_coding	acyl-CoA dehydrogenase	false		refseq|kegg|uniprot	false
PA4200		PA4200	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
