locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA0163			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0164			protein_coding	gamma-glutamyltranspeptidase	false		refseq|uniprot	false
PA0165			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0166			protein_coding	transporter	false		refseq|uniprot	false
PA0167			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|producto_refseq	refseq|uniprot	false
PA0168			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0169			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0170			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0171			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0172			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0173	cheB2		protein_coding	chemotaxis response regulator protein-glutamate methylesterase	false		refseq|uniprot	false
PA0174	cheD		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0175	cheR2		protein_coding	chemotaxis protein methyltransferase	false		refseq|uniprot	false
PA0176	aer2	aer-2|mcpB|tlpG	protein_coding	aerotaxis transducer Aer2	false		refseq|uniprot	false
PA0177			protein_coding	purine-binding chemotaxis protein	false		refseq|uniprot	false
PA0178			protein_coding	two-component sensor	true	kw_two_component|producto_refseq	refseq|uniprot	false
PA0179			protein_coding	two-component response regulator	true	kw_transcription_regulation|kw_two_component|producto_refseq	refseq|uniprot	false
PA0180	cttP	mcpA	protein_coding	trichloroethylene chemotactic transducer CttP	false		refseq|uniprot	false
PA0181			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0182			protein_coding	3-ketoacyl-ACP reductase	false		refseq|uniprot	false
PA0183	atsA		protein_coding	arylsulfatase	false		refseq|uniprot	false
PA0184			protein_coding	ABC transporter ATP-binding protein	false		refseq|uniprot	false
PA0185			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0186			protein_coding	ABC transporter	false		refseq|uniprot	false
PA0187			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0188			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0189			protein_coding	porin	false		refseq|uniprot	false
PA0190			protein_coding	acid phosphatase	false		refseq|uniprot	false
PA0191			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0192			protein_coding	TonB-dependent receptor	false		refseq|uniprot	false
PA0193			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0194			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0195	pntAA		protein_coding	NAD(P) transhydrogenase subunit alpha	false		refseq|uniprot	false
PA0195.1	pntAB		protein_coding	NAD(P) transhydrogenase subunit alpha	false		refseq|uniprot	false
PA0196	pntB		protein_coding	pyridine nucleotide transhydrogenase subunit beta	false		refseq|uniprot	false
PA0197	tonB2		protein_coding	transporter TonB	false		refseq|uniprot	false
PA0198	exbB1		protein_coding	transporter ExbB	false		refseq|uniprot	false
PA0199	exbD1	exbD	protein_coding	biopolymer transport protein ExbD	false		refseq|uniprot	false
PA0200			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0201			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0202			protein_coding	amidase	false		refseq|uniprot	false
PA0203			protein_coding	ABC transporter	false		refseq|uniprot	false
PA0204			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0205			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0206	potA1		protein_coding	spermidine/putrescine ABC transporter ATP-binding protein	false		refseq|uniprot	false
PA0207			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0208	mdcA		protein_coding	malonate decarboxylase subunit alpha	false		refseq|uniprot	false
PA0209	mdcB		protein_coding	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	false		refseq|uniprot	false
PA0210	mdcC		protein_coding	malonate decarboxylase acyl carrier protein	false		refseq|uniprot	false
PA0211	mdcD		protein_coding	malonate decarboxylase subunit beta	false		refseq|uniprot	false
PA0212	mdcE		protein_coding	malonate decarboxylase subunit gamma	false		refseq|uniprot	false
PA0213	mdcG		protein_coding	phosphoribosyl-dephospho-CoA transferase	false		refseq|uniprot	false
PA0214			protein_coding	acyl transferase	false		refseq|uniprot	false
PA0215			protein_coding	malonate transporter MadL	false		refseq|uniprot	false
PA0216			protein_coding	malonate transporter MadM	false		refseq|uniprot	false
PA0217			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0218			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0219			protein_coding	aldehyde dehydrogenase	false		refseq|uniprot	false
PA0220			protein_coding	amino acid APC family transporter	false		refseq|uniprot	false
PA0221			protein_coding	aminotransferase	false		refseq|uniprot	false
PA0222			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0223			protein_coding	dihydrodipicolinate synthetase	false		refseq|uniprot	false
PA0224			protein_coding	class II aldolase/adducin domain-containing protein	false		refseq|uniprot	false
