tf	blanco	experimento	pmids
AmrZ	PA3385	Beta-gal reporter assay [PMID: 15968052]|ChIP-Seq [PMID: 24603766]|Copper-phenanthroline footprinting [PMID: 15968052]|EMSA [PMID: 15968052]|Fluorescence anisotropy [PMID: 22511872]|RNA-Seq [PMID: 24603766]|Site directed mutagenesis [PMID: 22511872]|X-ray crystallography [PMID: 22511872]	
AmrZ	PA3401	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3413	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3540	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3541	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3542	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3544	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3546	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3648	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3670	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3674	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3691	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3722	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3818	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3825	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3841	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3854	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3921	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3934	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3951	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4033	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4222	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4292	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4297	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4300	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4306	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4307	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4314	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4324	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4331	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4367	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4392	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4418	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4488	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4493	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4520	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4606	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4625	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4639	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4677	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4683	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4748	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4842	ChIP-Seq [PMID: 24603766]|EMSA [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4844	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4915	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4929	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA4981	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA5138	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA5167	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA5447	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
